Open,High,Low,Volume,Chg%
91999,93484,91999,48636,1.78
95840,95840,92460,68480,-3.67
47614,47848,47402,5050,0.15
29960,29960,29682,7530,-0.1
61948,61948,61666,6150,-0.23
45800,46175,45772,39330,-0.51
51087,51120,50820,7550,-0.81
29671,29968,29624,8400,0.38
125999,127150,125765,73228,0.71
86197,86700,85845,26010,0.64
25242,25316,25155,12140,-0.5
28435,28530,27950,460,-0.73
31460,31568,31416,9610,0.03
32950,33241,32950,21100,0.3
25175,25224,25003,11240,-0.35
71170,71290,70900,11770,-0.01
46297,46798,46163,17710,0.74
34823,34898,34520,18210,-0.15
79944,80000,79431,18521,-0.54
45700,45850,45330,37990,-0.33
50999,51111,50766,20580,0.06
29922,30043,29862,7100,-0.14
58850,59100,58700,7160,-0.12
29399,29696,29345,20390,0.61
29705,29705,29532,8540,-0.47
26751,26877,26680,19710,-0.01
40690,40700,40100,40,0.39
28190,28208,27935,17380,-0.34
25235,25287,25084,13970,-0.29
30512,30574,30335,6410,-0.2
44750,44920,44636,22090,-0.16
25949,26070,25670,15440,-0.8
34520,35500,34430,2710,1.21
47247,47281,46920,14360,-0.67
28843,28928,28807,4560,0.09
26929,26994,26856,9900,-0.06
50741,50909,50607,9490,0.22
58553,58644,58111,10480,-0.83
28269,28925,28183,230,2.87
30385,30498,30008,190,-0.37
37572,37825,37427,25210,0.54
44918,45050,44805,310,0.06
98986,99975,98760,32483,0.83
29209,29525,29120,990,0.55
30874,31085,30874,80,0.57
61021,61688,60800,360,-0.32
50458,50495,49824,10970,-0.98
28488,28630,28213,18090,-0.31
33499,33797,33434,11910,0.87
56194,56339,56181,3510,-0.05
28430,28696,28400,12970,0.0
30063,30096,29840,11580,-0.5
50950,51108,50863,10050,0.2
50398,50830,50272,14220,0.36
59064,59702,59064,4230,0.57
86177,86380,85130,23226,-0.51
77246,78600,76613,60,-0.05
44279,44499,44188,50,-0.31
31302,31383,30965,10710,-1.23
47550,47712,47492,9950,0.47
84960,85000,84083,30763,-1.0
52619,52925,52580,9290,0.41
62530,62536,61977,14950,-0.78
51598,51889,51515,26220,0.52
32907,32999,32875,10560,0.11
58576,58726,58527,5100,-0.05
63360,63640,62453,230,-0.7
73162,73255,72910,10650,0.01
46900,47299,46702,2009,0.34
29282,29460,29240,8980,0.42
72596,72726,71551,18390,-1.91
126541,127824,126150,80023,0.24
30482,30578,30403,3200,-0.3
26610,26647,26539,1820,-0.03
57743,58059,57673,440,0.77
48237,48999,48237,630,1.38
30031,30125,29539,3050,-0.83
38050,38263,37736,27080,-0.74
28450,28450,27951,2100,-1.29
58690,58720,58390,9830,-0.19
30650,30740,30570,4840,0.13
48963,49145,48948,80,0.35
50219,50293,50084,7200,-0.08
26636,26847,26530,2330,0.31
90360,90920,90011,28184,0.3
57320,57450,57230,7420,0.17
51300,52200,51127,340,0.76
53646,53866,53614,5370,0.14
50770,50930,50728,7010,0.28
32992,33280,32992,11790,0.89
55303,55700,55205,9170,1.01
26500,26600,26401,3300,0.33
47814,47970,47806,4650,0.22
31001,31001,30852,8540,-0.07
46202,46750,46125,20250,1.05
30848,30899,30673,7270,-0.23
25994,26367,25967,20080,1.17
37512,37810,37400,21940,0.58
59150,59325,59050,9300,0.12
57420,58557,57015,20000,1.47
77450,78049,77361,21727,0.29
27805,27929,27702,11020,0.11
31390,31484,31267,4730,1.03
29750,29817,29660,7310,0.15
89237,90407,87773,74078,-2.03
31459,31966,31420,14090,1.45
38223,38230,37920,24870,-0.06
49600,49743,49315,23310,-0.22
49210,49334,48881,650,0.21
30463,30550,30463,40,0.13
48275,48830,47960,35570,0.77
33333,33484,33333,8880,0.6
37999,38270,37999,10200,0.6
28863,28875,28780,6700,-0.21
68211,69387,68000,3020,0.99
42750,43585,42750,39100,2.22
88280,88850,88280,16479,0.62
30388,30440,30080,930,-0.65
26859,26910,26403,15110,-1.49
63303,63303,61941,80,0.48
28452,28487,28250,16660,-0.56
29895,29900,29756,6680,0.43
65455,65670,65400,7390,0.19
62079,62079,61735,9080,-0.4
29102,29119,28831,24490,-0.68
61228,61450,60801,18620,-0.52
26904,27050,26862,15860,0.09
72798,73650,72760,16470,0.96
46070,46666,45962,41710,1.05
30380,30412,30000,2260,-0.69
52680,53439,52410,33010,0.87
37948,38215,37879,150,-0.03
39562,39762,39562,15820,0.2
49215,49365,49035,14680,0.1
47720,48250,47713,13670,1.42
30876,30913,30720,6330,0.18
66370,67870,66370,14140,1.96
42350,43000,41248,4470,-1.02
26899,27225,26892,17500,1.22
56323,56490,56251,80,-1.18
96600,96600,95836,32799,-0.04
30413,30474,30290,10960,-0.09
71537,71640,71109,12550,0.23
47560,47700,47333,14170,-0.22
42470,42735,42006,26970,-0.76
62091,62115,61515,13550,-0.81
100813,101520,100813,17097,0.51
70700,71448,70673,21010,0.74
29351,29797,29331,9520,0.73
59044,59456,58891,2690,0.66
47199,47525,47140,14500,0.02
30000,30197,29960,6810,-0.07
31035,31139,30925,8029,0.07
30060,30110,29889,9200,-0.35
48034,48280,47981,15130,0.5
55794,55794,55486,6660,-0.17
59057,59191,58870,8850,0.18
24784,24849,24705,14890,-0.16
25360,25486,25360,170,0.03
37274,37844,37188,33320,1.13
38300,38898,38300,2300,1.23
73450,74050,73364,20000,0.85
35200,35840,35100,820,1.63
26699,26849,26670,11990,0.06
26950,26950,26803,11290,-0.54
42050,43277,41960,70,2.58
28666,28980,28551,23800,0.34
50686,51100,50531,24720,0.26
60678,60745,60375,8930,-0.03
26468,26468,26200,10610,-1.22
28590,28799,28568,9310,0.52
67976,68340,67670,11300,1.01
30717,30777,30678,4030,-0.23
51438,51527,51100,230,0.03
27131,27360,27078,11360,0.56
50333,50771,50326,25030,0.61
29287,29376,29220,12970,0.39
31480,31799,31450,12640,0.74
29600,29740,29512,9840,-0.31
65733,66061,65600,11510,-0.38
28840,28840,28547,18290,-0.48
44946,45125,44818,18820,0.15
37710,37850,37532,17280,-0.05
56181,56285,56000,6390,-0.08
35065,35135,34907,20410,-0.32
24800,25096,24774,14670,0.93
29420,29456,29352,1530,-0.5
29392,29411,29256,18210,-0.18
56103,56350,55963,6300,-0.17
28830,28875,28736,9250,0.19
47940,48100,47327,210,-1.09
28451,28586,28373,580,-0.1
58657,59051,58463,8910,0.84
48812,49086,48760,28010,0.39
59550,59950,59410,14350,0.5
30151,30248,30074,5560,-0.09
72405,72405,71735,16920,-1.07
30141,30385,30042,19070,0.58
29230,29334,29088,10550,-0.03
47800,47969,47593,3060,0.01
37511,37837,37511,9500,0.54
75255,75840,75255,21000,0.69
64059,64541,64050,10,0.92
31149,31249,30850,17170,-0.48
30102,30120,29740,9280,-1.15
29651,29707,29584,6550,0.12
30398,30520,30264,8850,0.41
47400,47535,47251,12520,-0.08
32070,32197,31968,11740,0.24
52805,52911,52400,7840,-0.15
30075,30448,30062,1440,0.7
85500,85856,84285,35299,-1.21
56230,56430,56230,6770,-0.19
56486,56641,56160,11220,0.84
100199,100650,100199,22638,0.41
63072,63338,62894,680,0.06
28694,28866,28674,9520,0.73
77517,77520,76520,19860,-1.04
63119,63471,62969,7810,-0.27
31120,31123,30937,9140,-0.49
50542,50580,50010,31070,-0.65
29502,29550,29364,7210,-0.14
26219,26277,26015,14350,-0.39
27835,27835,27652,4090,-0.32
29604,29668,29520,5980,-0.1
26715,26817,26665,11230,0.23
30050,30348,30010,14460,0.66
30310,30476,30185,9880,0.41
50680,52840,50026,92180,0.69
56107,56107,54997,740,-1.11
31120,31260,31064,16800,0.72
39600,39699,39464,18190,0.39
30925,31146,30861,210,0.25
31167,31500,30967,8760,0.21
69000,69349,68767,12010,0.55
30686,30865,30405,20720,-0.18
47660,48119,47290,110,-0.37
30045,30181,29710,12750,0.26
30262,30505,30132,21900,0.35
49390,49463,49125,8750,-0.18
34270,34270,33777,13580,-0.6
28700,29233,28700,7610,1.85
30224,30298,30055,5780,-0.05
29640,29643,29504,5080,-0.1
65150,65419,65055,13400,0.31
31588,31730,31542,4520,-0.42
38740,38998,38289,24910,-0.89
38063,38194,37988,11170,0.02
31430,31643,31400,10030,0.28
48344,48344,47531,380,-1.39
32631,32760,32631,10040,0.39
46399,47125,46235,80,1.25
71060,72510,71053,50,1.18
49000,49190,48891,27740,0.13
31900,32538,31885,25010,1.82
40139,40399,39929,23430,0.17
47893,47936,47355,22210,-0.97
49734,50238,49640,46550,1.12
26164,26246,25985,470,-0.6
29750,29949,29750,11850,0.69
59980,60195,59701,11510,0.33
27170,27280,27101,3070,0.2
96298,97623,96298,46217,1.63
38090,38249,38090,12600,0.26
59100,59275,58600,16410,0.0
71209,71549,70983,8890,0.54
28593,28593,28460,7550,-0.5
46850,46997,46638,14040,-0.47
33225,33450,33205,9010,0.21
47840,48030,47594,12770,0.28
35180,35380,35003,29520,-0.24
51073,51141,50610,2380,-0.94
37560,37800,37501,20060,0.48
28130,28640,28088,19080,0.59
47649,47850,47510,100,0.4
58164,58328,58073,6850,0.1
71417,71775,71252,14690,0.29
25395,25519,25351,10870,0.19
31490,31566,31401,9920,-0.02
58598,58619,58401,5670,-0.43
29230,29456,29002,50,-0.17
57721,57900,57575,8260,-0.04
26909,26909,26491,9510,-1.17
56740,56800,56465,10530,-0.15
60012,60200,59730,10300,-0.68
95345,95476,93856,49630,-0.4
